epoch,train_loss,train_obj_p2,train_obj_p3,train_obj_p4,train_bbox_p2,train_bbox_p3,train_bbox_p4,val_obj_p2,val_obj_p3,val_obj_p4,val_f1_p2,val_f1_p3,val_f1_p4,out_max_p4,out_std_p4,cells_above_03_p4,head_bias_p4,grad_norm,lr,epoch_time_s,gpu_mem_mb,mined
75,1.0546,0.0574,0.0987,0.7944,0.0464,0.0461,0.0115,0.0601,0.0922,0.7886,0.1789,0.2434,0.4434,0.0000,0.0000,0.0,-0.7265,3.7551,0.00174604,212.37,4050.9,0
76,1.0487,0.0572,0.0974,0.7910,0.0457,0.0459,0.0116,0.0587,0.0937,0.7915,0.1676,0.2669,0.4150,0.0000,0.0000,0.0,-0.7289,3.7085,0.00168252,213.97,4090.3,0
77,1.0492,0.0582,0.0983,0.7915,0.0460,0.0459,0.0115,0.0592,0.0935,0.7887,0.1683,0.2764,0.4211,0.0000,0.0000,0.0,-0.7233,3.7678,0.00161959,211.99,4050.9,0
78,1.0469,0.0571,0.0977,0.7898,0.0454,0.0455,0.0115,0.0574,0.0930,0.7890,0.1517,0.2078,0.4229,0.0000,0.0000,0.0,-0.7222,3.7248,0.00155730,210.92,4090.3,0
79,1.0477,0.0572,0.0973,0.7903,0.0459,0.0456,0.0115,0.0585,0.0921,0.7860,0.1744,0.2161,0.4232,0.0000,0.0000,0.0,-0.7188,3.7138,0.00149570,209.89,4090.3,0
80,1.0446,0.0571,0.0971,0.7883,0.0449,0.0457,0.0113,0.0602,0.0919,0.7878,0.1771,0.2652,0.4439,1.0000,0.2100,17913.1,-0.7197,3.6834,0.00143482,202.34,4050.9,0
81,1.0440,0.0572,0.0978,0.7866,0.0452,0.0457,0.0114,0.0579,0.0916,0.7856,0.1659,0.2381,0.4394,0.0000,0.0000,0.0,-0.7182,3.7094,0.00137471,199.05,4090.3,0
82,1.0417,0.0569,0.0976,0.7881,0.0455,0.0456,0.0113,0.0581,0.0913,0.7844,0.1659,0.2326,0.4324,0.0000,0.0000,0.0,-0.7229,3.6979,0.00131542,196.93,4090.3,0
83,1.0434,0.0561,0.0969,0.7877,0.0459,0.0455,0.0113,0.0570,0.0921,0.7834,0.1485,0.2700,0.4369,0.0000,0.0000,0.0,-0.7164,3.7777,0.00125698,199.17,4050.9,0
84,1.0435,0.0564,0.0963,0.7887,0.0451,0.0457,0.0112,0.0572,0.0914,0.7855,0.1537,0.2468,0.4207,0.0000,0.0000,0.0,-0.7122,3.7647,0.00119944,198.35,4050.9,0
85,1.0433,0.0568,0.0968,0.7875,0.0454,0.0456,0.0112,0.0588,0.0919,0.7834,0.1727,0.2588,0.4370,0.0000,0.0000,0.0,-0.7135,3.7448,0.00114285,202.39,4050.9,0
86,1.0370,0.0558,0.0960,0.7831,0.0457,0.0454,0.0111,0.0573,0.0917,0.7846,0.1372,0.2239,0.4300,0.0000,0.0000,0.0,-0.7077,3.7011,0.00108723,197.93,4050.9,0
87,1.0357,0.0560,0.0969,0.7833,0.0455,0.0455,0.0110,0.0573,0.0921,0.7830,0.1605,0.2793,0.4269,0.0000,0.0000,0.0,-0.7069,3.7628,0.00103264,197.90,4050.9,0
88,1.0385,0.0560,0.0968,0.7853,0.0457,0.0454,0.0110,0.0576,0.0913,0.7869,0.1661,0.2524,0.4607,0.0000,0.0000,0.0,-0.7112,3.7497,0.00097910,199.54,4090.3,0
89,1.0361,0.0560,0.0963,0.7817,0.0454,0.0455,0.0110,0.0583,0.0914,0.7858,0.1684,0.2454,0.4290,0.0000,0.0000,0.0,-0.7064,3.7228,0.00092667,204.47,4090.3,0
90,1.0370,0.0554,0.0961,0.7835,0.0460,0.0450,0.0110,0.0565,0.0909,0.7846,0.1468,0.2514,0.4427,1.0000,0.1339,7334.0,-0.7083,3.7550,0.00087537,198.59,4050.9,0
91,1.0341,0.0558,0.0956,0.7812,0.0451,0.0452,0.0111,0.0578,0.0910,0.7856,0.1733,0.2330,0.4364,0.0000,0.0000,0.0,-0.7017,3.7761,0.00082525,198.36,4050.9,0
92,1.0361,0.0555,0.0960,0.7829,0.0458,0.0451,0.0109,0.0570,0.0918,0.7832,0.1535,0.2715,0.4331,0.0000,0.0000,0.0,-0.7069,3.7805,0.00077633,201.17,4090.3,0
93,1.0332,0.0553,0.0952,0.7808,0.0456,0.0452,0.0109,0.0567,0.0912,0.7832,0.1496,0.2343,0.4249,0.0000,0.0000,0.0,-0.7066,3.7257,0.00072867,199.15,4090.3,0
94,1.0322,0.0550,0.0954,0.7829,0.0444,0.0452,0.0108,0.0568,0.0910,0.7817,0.1410,0.2430,0.4530,0.0000,0.0000,0.0,-0.7056,3.7499,0.00068228,201.26,4090.3,0
95,1.0304,0.0553,0.0954,0.7807,0.0451,0.0452,0.0110,0.0579,0.0910,0.7813,0.1608,0.2499,0.4337,0.0000,0.0000,0.0,-0.7067,3.7083,0.00063721,199.92,4050.9,0
96,1.0306,0.0552,0.0957,0.7796,0.0445,0.0448,0.0108,0.0586,0.0915,0.7828,0.1740,0.2652,0.4468,0.0000,0.0000,0.0,-0.7050,3.7632,0.00059348,201.53,4050.9,0
97,1.0314,0.0553,0.0953,0.7802,0.0448,0.0453,0.0106,0.0567,0.0911,0.7817,0.1451,0.2516,0.4293,0.0000,0.0000,0.0,-0.7045,3.7720,0.00055113,199.63,4050.9,0
98,1.0284,0.0543,0.0951,0.7786,0.0447,0.0451,0.0108,0.0579,0.0911,0.7836,0.1622,0.2597,0.4522,0.0000,0.0000,0.0,-0.7048,3.7396,0.00051018,201.53,4090.3,0
99,1.0305,0.0552,0.0950,0.7793,0.0452,0.0451,0.0107,0.0567,0.0907,0.7818,0.1566,0.2408,0.4397,0.0000,0.0000,0.0,-0.7036,3.7516,0.00047068,196.87,4050.9,0
100,1.0297,0.0549,0.0947,0.7806,0.0441,0.0449,0.0106,0.0572,0.0906,0.7816,0.1630,0.2381,0.4336,0.9993,0.1315,4904.8,-0.7033,3.7226,0.00043264,200.87,4050.9,0
101,1.0277,0.0548,0.0942,0.7784,0.0448,0.0449,0.0106,0.0574,0.0908,0.7822,0.1636,0.2532,0.4149,0.0000,0.0000,0.0,-0.7018,3.7432,0.00039609,199.90,4090.3,0
102,1.0294,0.0550,0.0949,0.7791,0.0449,0.0450,0.0106,0.0568,0.0911,0.7848,0.1575,0.2648,0.4659,0.0000,0.0000,0.0,-0.7024,3.7626,0.00036106,199.82,4050.9,0
103,1.0266,0.0541,0.0943,0.7791,0.0451,0.0449,0.0106,0.0567,0.0912,0.7818,0.1460,0.2261,0.4228,0.0000,0.0000,0.0,-0.7004,3.7296,0.00032758,198.00,4050.9,0
104,1.0279,0.0549,0.0947,0.7788,0.0442,0.0448,0.0106,0.0574,0.0910,0.7834,0.1661,0.2503,0.4549,0.0000,0.0000,0.0,-0.7019,3.7788,0.00029567,201.15,4090.3,0
105,1.0231,0.0551,0.0942,0.7753,0.0446,0.0451,0.0106,0.0572,0.0910,0.7816,0.1615,0.2449,0.4423,0.0000,0.0000,0.0,-0.6999,3.6862,0.00026535,200.50,4050.9,0
106,1.0271,0.0550,0.0946,0.7780,0.0444,0.0448,0.0105,0.0576,0.0909,0.7804,0.1691,0.2490,0.4336,0.0000,0.0000,0.0,-0.7010,3.8049,0.00023664,198.54,4050.9,0
107,1.0235,0.0551,0.0944,0.7765,0.0447,0.0446,0.0105,0.0572,0.0911,0.7816,0.1616,0.2569,0.4460,0.0000,0.0000,0.0,-0.7006,3.6509,0.00020957,200.00,4090.3,0
