epoch,train_loss,train_obj_p2,train_obj_p3,train_obj_p4,train_bbox_p2,train_bbox_p3,train_bbox_p4,val_obj_p2,val_obj_p3,val_obj_p4,val_f1_p2,val_f1_p3,val_f1_p4,lr,epoch_time_s,gpu_mem_mb
1,1.0208,0.2280,0.2393,0.3103,0.1051,0.0937,0.0444,0.1033,0.1196,0.1416,0.0094,0.0232,0.2180,0.00020000,257.83,4074.0
83,0.3524,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00041225,240.49,4112.7
84,0.3515,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00038190,241.88,4074.0
85,0.3516,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00035204,240.30,4112.7
86,0.3500,0.0746,0.0757,0.0990,0.0448,0.0451,0.0108,0.0736,0.0772,0.0998,0.0667,0.1445,0.5235,0.00032278,286.53,4073.9
87,0.3503,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00029424,233.63,4074.0
88,0.3522,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00026653,218.75,4073.9
89,0.3509,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00023977,233.00,4073.9
90,0.3494,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00021405,236.06,4073.9
91,0.3490,0.0745,0.0751,0.0986,0.0452,0.0448,0.0108,0.0766,0.0775,0.0995,0.0725,0.1381,0.5181,0.00018948,284.51,4073.9
92,0.3485,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00016615,247.12,4073.9
93,0.3484,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00014416,241.24,4073.9
94,0.3467,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00012360,251.72,4113.2
95,0.3468,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00010454,244.49,4113.2
96,0.3486,0.0747,0.0748,0.0982,0.0454,0.0449,0.0106,0.0740,0.0780,0.0992,0.0652,0.1492,0.5066,0.00008706,294.15,4073.9
97,0.3465,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00007123,241.97,4113.2
98,0.3473,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00005711,249.17,4073.9
99,0.3468,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00004476,241.08,4073.9
100,0.3461,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,0.00003423,247.69,4113.2
